town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
3616,מעלה אדמים,2011,482,26,91,173,30,1,119
3616,מעלה אדמים,2012,407,33,264,175,27,3,97
3616,מעלה אדמים,2013,403,31,159,194,23,2,123
1327,מעלה עירון,2011,63,4,4,20,1,0,4
1327,מעלה עירון,2012,58,3,5,49,0,0,11
1327,מעלה עירון,2013,59,2,3,33,3,2,14
1063,מעלות תרשח,2011,300,3,195,112,10,6,39
1063,מעלות תרשח,2012,278,3,114,104,8,2,57
1063,מעלות תרשח,2013,268,4,124,132,14,2,57
518,מעליא     ,2011,35,0,5,8,0,1,3
518,מעליא     ,2012,23,0,18,16,0,0,4
518,מעליא     ,2013,24,1,25,17,0,1,7
99,מצפה רמון ,2011,140,17,14,35,8,1,9
99,מצפה רמון ,2012,101,12,31,30,3,0,14
99,מצפה רמון ,2013,116,17,11,27,2,0,15
635,מקיבלה    ,2011,20,1,5,17,0,0,2
635,מקיבלה    ,2012,12,0,2,17,0,0,1
635,מקיבלה    ,2013,24,2,3,18,1,1,2
1098,מרכז שפירא,2011,48,9,0,0,1,0,0
1098,מרכז שפירא,2012,13,1,0,0,0,0,0
1098,מרכז שפירא,2013,32,3,0,3,1,0,1
520,משהד      ,2011,36,3,3,16,1,0,1
520,משהד      ,2012,28,1,5,23,1,0,10
520,משהד      ,2013,29,3,11,30,2,0,6
1315,מתן       ,2011,13,1,3,2,1,0,2
1315,מתן       ,2012,19,1,0,4,1,0,2
1315,מתן       ,2013,33,0,1,2,0,0,2
9100,נהריה     ,2011,1072,45,468,353,34,11,144
9100,נהריה     ,2012,878,37,254,355,32,25,172
9100,נהריה     ,2013,916,24,220,321,27,16,184
1333,נוף אילון ,2011,2,0,1,1,0,0,1
1333,נוף אילון ,2012,10,2,0,2,0,0,1
1333,נוף אילון ,2013,7,0,0,1,0,0,0
1284,נופית     ,2011,38,1,0,8,1,0,5
1284,נופית     ,2012,42,2,0,6,0,0,9
1284,נופית     ,2013,41,4,0,1,0,0,1
522,נחף       ,2011,35,1,27,53,2,0,14
522,נחף       ,2012,40,1,24,38,3,0,11
522,נחף       ,2013,44,0,20,50,1,2,19
7200,נס ציונה  ,2011,616,73,35,119,10,6,96
7200,נס ציונה  ,2012,574,85,40,121,13,10,118
7200,נס ציונה  ,2013,606,97,49,126,20,12,105
7300,נצרת      ,2011,929,81,249,409,20,30,110
7300,נצרת      ,2012,956,75,346,509,14,26,99
7300,נצרת      ,2013,944,100,420,456,20,22,146
1061,נצרת עלית ,2011,882,83,392,339,46,23,97
1061,נצרת עלית ,2012,823,58,390,384,53,31,135
1061,נצרת עלית ,2013,947,68,459,353,46,22,165
2500,נשר       ,2011,583,64,118,115,10,4,96
2500,נשר       ,2012,587,52,80,115,11,8,60
2500,נשר       ,2013,450,66,55,92,8,6,65
246,נתיבות    ,2011,405,25,106,195,12,7,67
246,נתיבות    ,2012,466,14,149,216,20,2,70
246,נתיבות    ,2013,455,19,179,247,19,4,104
7400,נתניה     ,2011,6269,1102,274,1269,116,144,721
7400,נתניה     ,2012,5845,963,341,1365,115,155,927
7400,נתניה     ,2013,5968,968,504,1302,129,175,942
525,סאג'ור    ,2011,37,0,4,12,1,2,2
525,סאג'ור    ,2012,29,0,6,6,1,0,5
525,סאג'ור    ,2013,35,1,6,9,0,1,1
587,סביון     ,2011,150,9,3,5,2,0,3
587,סביון     ,2012,141,4,2,9,1,0,6
587,סביון     ,2013,156,31,11,5,3,0,7
526,סולם      ,2011,8,0,3,14,0,0,9
526,סולם      ,2012,8,1,1,12,1,0,3
526,סולם      ,2013,14,0,0,19,0,0,12
7500,סח'נין    ,2011,193,4,115,92,5,4,23
7500,סח'נין    ,2012,171,6,77,156,3,2,42
7500,סח'נין    ,2013,179,4,65,168,9,1,61
1245,סלמה      ,2011,31,0,0,32,1,0,11
1245,סלמה      ,2012,35,0,2,20,1,0,4
1245,סלמה      ,2013,27,1,2,26,0,0,9
4501,עג'ר      ,2011,0,0,1,0,0,0,0
4501,עג'ר      ,2012,4,0,4,2,1,0,0
4501,עג'ר      ,2013,0,0,0,1,0,0,0
528,עזיר      ,2011,7,1,0,7,0,0,0
528,עזיר      ,2012,14,1,0,13,0,0,2
528,עזיר      ,2013,9,0,1,1,0,0,0
530,עילבון    ,2011,30,1,5,38,1,0,10
530,עילבון    ,2012,40,2,1,30,1,2,8
530,עילבון    ,2013,27,2,2,25,1,0,10
511,עילוט     ,2011,52,1,15,42,2,0,3
511,עילוט     ,2012,31,1,17,30,2,0,7
511,עילוט     ,2013,33,1,7,36,1,0,7
532,עין מאהל  ,2011,39,12,2,16,0,1,4
532,עין מאהל  ,2012,35,3,6,27,5,1,3
532,עין מאהל  ,2013,42,1,3,27,5,0,6
521,עין נקובא ,2011,17,5,5,10,0,0,4
521,עין נקובא ,2012,8,2,1,13,1,0,6
521,עין נקובא ,2013,15,0,3,7,1,0,7
7600,עכו       ,2011,1168,53,667,401,34,35,194
